rep_key,rep_name,rep_team,tenure_band
R001,Caitlin Jackson,Inside Sales A,0-1y
R002,Jacqueline Brock,Inside Sales B,1-2y
R003,Debbie Weber,Account Executives,2-4y
R004,Joann Lee,Inside Sales A,4+y
R005,Beth Cook,Inside Sales B,0-1y
R006,Maria Chavez,Account Executives,1-2y
R007,James Armstrong,Inside Sales A,2-4y
R008,Tracy Phillips DVM,Inside Sales B,4+y
R009,Luis Lambert,Account Executives,0-1y
R010,Nancy Cooper,Inside Sales A,1-2y
R011,Carolyn Johnson,Inside Sales B,2-4y
R012,Alicia Walsh,Account Executives,4+y
R013,Mary Wise,Inside Sales A,0-1y
R014,Cheyenne Montgomery,Inside Sales B,1-2y
R015,Grant Watkins,Account Executives,2-4y
